StockName,TotalWeight,AvgWeight,ETF_Count,Rank
LG유플러스,1.4300001,0.286,5,145
삼성에피스홀딩스,1.41,0.282,5,146
세아베스틸지주,1.3699999,0.274,5,147
현대차2우B,1.34,1.34,1,148
아이쓰리시스템,1.33,1.33,1,149
한진칼,1.28,0.25599998,5,150
현대엘리베이터,1.22,0.20333333,6,151
코웨이,1.21,0.17285715,7,152
HMM,1.2,0.24000001,5,153
현대제철,1.1999999,0.23999998,5,154
신세계,1.1,0.18333334,6,155
크래프톤,1.06,0.265,4,156
에스비비테크,1.05,1.05,1,157
한솔케미칼,1.02,0.204,5,158
유한양행,0.96,0.192,5,159
엠씨넥스,0.92,0.92,1,160
GS,0.91999996,0.22999999,4,161
더존비즈온,0.91,0.91,1,162
LG디스플레이,0.90999997,0.182,5,163
하이젠알앤엠,0.89,0.89,1,164
HPSP,0.88,0.29333332,3,165
원익QnC,0.84000003,0.42000002,2,166
금호석유화학,0.82,0.13666667,6,167
풍산,0.78000003,0.19500001,4,168
에스티아이,0.78,0.39,2,169
한국카본,0.78,0.26,3,170
에이피알,0.78,0.26,3,171
이마트,0.75,0.15,5,172
오로스테크놀로지,0.75,0.75,1,173
엔씨소프트,0.73,0.146,5,174
CJ대한통운,0.71999997,0.144,5,175
미래에셋벤처투자,0.71,0.71,1,176
제이브이엠,0.7,0.7,1,177
한전기술,0.7,0.23333333,3,178
SK바이오팜,0.7,0.14,5,179
마이크로디지탈,0.67,0.67,1,180
포스코인터내셔널,0.67,0.134,5,181
F&F,0.65,0.10833333,6,182
KCC,0.64,0.12799999,5,183
엘앤에프,0.64,0.21333332,3,184
사피엔반도체,0.63,0.63,1,185
OCI홀딩스,0.58,0.116,5,186
삼성E&A,0.56,0.14,4,187
한국가스공사,0.55,0.11,5,188
코스맥스,0.55,0.09166667,6,189
효성,0.55,0.275,2,190
한화엔진,0.53999996,0.17999999,3,191
엔젤로보틱스,0.53,0.53,1,192
비에이치,0.51,0.51,1,193
농심,0.51,0.102,5,194
아모레퍼시픽,0.51,0.1275,4,195
강원랜드,0.51,0.102,5,196
iM금융지주,0.51,0.1275,4,197
SK아이이테크놀로지,0.5,0.1,5,198
영원무역,0.48999998,0.098,5,199
팬오션,0.46,0.07666667,6,200
오리온,0.45,0.1125,4,201
솔루엠,0.45,0.225,2,202
삼성카드,0.45,0.1125,4,203
카카오페이,0.44,0.14666666,3,204
제일기획,0.44,0.088,5,205
넷마블,0.43,0.086,5,206
코오롱인더,0.42000002,0.08400001,5,207
하이비젼시스템,0.42,0.42,1,208
현대백화점,0.41,0.082,5,209
효성티앤씨,0.39,0.077999994,5,210
롯데쇼핑,0.39,0.13,3,211
나우로보틱스,0.38,0.38,1,212
코스메카코리아,0.38,0.38,1,213
GS리테일,0.37,0.074,5,214
삼지전자,0.37,0.37,1,215
대한유화,0.36,0.072000004,5,216
미스토홀딩스,0.35,0.07,5,217
LG씨엔에스,0.35,0.11666667,3,218
CJ4우(전환),0.35,0.35,1,219
현대해상,0.34,0.068,5,220
대한전선,0.34,0.11333334,3,221
금호타이어,0.31,0.0775,4,222
에스오에스랩,0.31,0.31,1,223
인텔리안테크,0.3,0.3,1,224
주성엔지니어링,0.3,0.15,2,225
테크윙,0.29,0.29,1,226
롯데칠성,0.29,0.058,5,227
롯데지주,0.29,0.058,5,228
코난테크놀로지,0.28,0.28,1,229
대창단조,0.28,0.28,1,230
LG생활건강,0.28,0.07,4,231
영원무역홀딩스,0.28,0.093333334,3,232
녹십자,0.27,0.0675,4,233
SK케미칼,0.27,0.0675,4,234
SAMG엔터,0.26,0.26,1,235
에스원,0.26,0.065,4,236
포스코DX,0.25,0.083333336,3,237
SKC,0.25,0.0625,4,238
대웅제약,0.24000001,0.048,5,239
한화생명,0.23,0.046,5,240
대신증권,0.22999999,0.114999995,2,241
두올,0.22,0.22,1,242
세방전지,0.22,0.055,4,243
알테오젠,0.22,0.22,1,244
동양생명,0.21000001,0.105000004,2,245
CJ제일제당,0.21000001,0.052500002,4,246
GS건설,0.21000001,0.07,3,247
DL이앤씨,0.21000001,0.052500002,4,248
대한제분,0.21,0.21,1,249
미창석유,0.21,0.21,1,250
롯데정밀화학,0.2,0.04,5,251
국보디자인,0.2,0.2,1,252
한올바이오파마,0.2,0.06666667,3,253
대우건설,0.19999999,0.049999997,4,254
가온칩스,0.19,0.19,1,255
명인제약,0.19,0.19,1,256
대한약품,0.19,0.19,1,257
KSS해운,0.19,0.19,1,258
씨에스윈드,0.19,0.0475,4,259
한미사이언스,0.19,0.0475,4,260
엘앤씨바이오,0.18,0.18,1,261
케이피에프,0.18,0.18,1,262
DB하이텍,0.18,0.18,1,263
아세아제지,0.18,0.18,1,264
유니드,0.17,0.17,1,265
영풍,0.16,0.05333333,3,266
HD현대마린솔루션,0.16,0.08,2,267
사조대림,0.16,0.16,1,268
나이스정보통신,0.16,0.16,1,269
롯데케미칼,0.16,0.05333333,3,270
대원산업,0.16,0.16,1,271
와이지엔터테인먼트,0.16,0.16,1,272
파라다이스,0.15,0.05,3,273
드림텍,0.15,0.15,1,274
DL,0.15,0.0375,4,275
동양이엔피,0.15,0.15,1,276
현대코퍼레이션,0.15,0.15,1,277
벽산,0.15,0.15,1,278
SK바이오사이언스,0.14,0.046666667,3,279
한온시스템,0.14,0.046666667,3,280
동원산업,0.14,0.046666667,3,281
포니링크,0.14,0.14,1,282
티앤알바이오팹,0.14,0.14,1,283
대한해운,0.13,0.065,2,284
대웅,0.13,0.0325,4,285
호텔신라,0.13,0.043333333,3,286
녹십자홀딩스,0.13,0.0325,4,287
한국콜마,0.13,0.0325,4,288
한국단자,0.13,0.13,1,289
LX인터내셔널,0.13,0.065,2,290
JYP Ent.,0.13,0.13,1,291
오스코텍,0.13,0.13,1,292
TKG휴켐스,0.13,0.043333333,3,293
더블유게임즈,0.12,0.03,4,294
국도화학,0.12,0.12,1,295
한국앤컴퍼니,0.12,0.03,4,296
아세아시멘트,0.12,0.12,1,297
아모레퍼시픽홀딩스,0.12,0.03,4,298
에임드바이오,0.11,0.11,1,299
상신브레이크,0.11,0.11,1,300
세보엠이씨,0.11,0.11,1,301
한전KPS,0.11,0.036666665,3,302
넥센타이어,0.11,0.11,1,303
삼보판지,0.11,0.11,1,304
오성첨단소재,0.11,0.11,1,305
서연이화,0.11,0.11,1,306
오뚜기,0.1,0.025,4,307
현대그린푸드,0.1,0.05,2,308
경동나비엔,0.1,0.1,1,309
원익머트리얼즈,0.1,0.1,1,310
동국제강,0.1,0.05,2,311
태경비케이,0.1,0.1,1,312
KG케미칼,0.1,0.1,1,313
종근당,0.1,0.025,4,314
동서,0.099999994,0.03333333,3,315
호전실업,0.09,0.09,1,316
아이디스,0.09,0.09,1,317
신원,0.09,0.09,1,318
신영증권,0.09,0.09,1,319
세방,0.09,0.09,1,320
DN오토모티브,0.09,0.030000001,3,321
삼양사,0.09,0.09,1,322
AJ네트웍스,0.09,0.09,1,323
맥쿼리인프라,0.09,0.09,1,324
제이에스코퍼레이션,0.09,0.09,1,325
후성,0.089999996,0.03,3,326
코리안리,0.089999996,0.044999998,2,327
동원시스템즈,0.089999996,0.03,3,328
BGF리테일,0.089999996,0.03,3,329
와이지-원,0.08,0.08,1,330
NHN,0.08,0.04,2,331
코메론,0.08,0.08,1,332
LF,0.08,0.08,1,333
한솔테크닉스,0.08,0.08,1,334
풍국주정,0.08,0.08,1,335
HS효성첨단소재,0.08,0.02,4,336
현대공업,0.08,0.08,1,337
피에이치에이,0.07,0.07,1,338
SK가스,0.07,0.035,2,339
광주신세계,0.07,0.07,1,340
금비,0.07,0.07,1,341
KPX케미칼,0.07,0.07,1,342
다우기술,0.07,0.035,2,343
디와이파워,0.07,0.07,1,344
롯데웰푸드,0.07,0.023333333,3,345
하이록코리아,0.07,0.07,1,346
DB,0.07,0.07,1,347
사조산업,0.07,0.07,1,348
세아제강,0.07,0.07,1,349
수산인더스트리,0.07,0.07,1,350
율촌화학,0.07,0.023333333,3,351
아세아,0.060000002,0.030000001,2,352
하이트진로,0.06,0.02,3,353
한일시멘트,0.06,0.02,3,354
HD현대마린엔진,0.06,0.03,2,355
대상,0.06,0.015,4,356
오리온홀딩스,0.06,0.02,3,357
한샘,0.06,0.02,3,358
화승코퍼레이션,0.06,0.06,1,359
티이엠씨씨엔에스,0.06,0.06,1,360
한국수출포장,0.06,0.06,1,361
휴메딕스,0.06,0.06,1,362
TYM,0.06,0.06,1,363
E1,0.06,0.06,1,364
SK오션플랜트,0.05,0.05,1,365
케이씨,0.05,0.05,1,366
SIMPAC,0.05,0.05,1,367
넥센,0.05,0.05,1,368
넥스틸,0.05,0.05,1,369
미원에스씨,0.05,0.025,2,370
유비벨록스,0.05,0.05,1,371
대봉엘에스,0.05,0.05,1,372
대한제강,0.05,0.05,1,373
동원개발,0.05,0.05,1,374
JW중외제약,0.05,0.05,1,375
태경산업,0.05,0.05,1,376
환인제약,0.05,0.05,1,377
HS애드,0.05,0.05,1,378
SK디스커버리,0.049999997,0.024999999,2,379
파트론,0.04,0.04,1,380
코오롱,0.04,0.04,1,381
한세실업,0.04,0.04,1,382
화신,0.04,0.04,1,383
태광산업,0.04,0.04,1,384
한국가구,0.04,0.04,1,385
코텍,0.04,0.04,1,386
휴비츠,0.04,0.04,1,387
동아에스티,0.04,0.04,1,388
대한조선,0.04,0.04,1,389
시프트업,0.04,0.04,1,390
신세계푸드,0.04,0.04,1,391
신영와코루,0.04,0.04,1,392
사조오양,0.04,0.04,1,393
에스텍,0.04,0.04,1,394
HS효성,0.04,0.04,1,395
정다운,0.04,0.04,1,396
CJ CGV,0.04,0.04,1,397
백산,0.03,0.03,1,398
삼양통상,0.03,0.03,1,399
두산퓨얼셀,0.03,0.03,1,400
극동유화,0.03,0.03,1,401
네오팜,0.03,0.03,1,402
샘표식품,0.03,0.03,1,403
롯데렌탈,0.03,0.03,1,404
삼양패키징,0.03,0.03,1,405
한국주철관,0.03,0.03,1,406
대현,0.03,0.03,1,407
한솔제지,0.03,0.03,1,408
동부건설,0.03,0.03,1,409
대원강업,0.03,0.03,1,410
헥토이노베이션,0.03,0.03,1,411
한섬,0.03,0.03,1,412
대원제약,0.03,0.03,1,413
송원산업,0.03,0.03,1,414
동방아그로,0.03,0.03,1,415
KG스틸,0.03,0.015,2,416
알지노믹스,0.03,0.03,1,417
지역난방공사,0.03,0.015,2,418
코스모화학,0.03,0.015,2,419
황금에스티,0.03,0.03,1,420
HDC현대EP,0.03,0.03,1,421
쿠쿠홈시스,0.03,0.03,1,422
이노션,0.03,0.015,2,423
KCC건설,0.03,0.03,1,424
시디즈,0.03,0.03,1,425
스카이라이프,0.03,0.03,1,426
아이에스동서,0.03,0.015,2,427
아모레퍼시픽홀딩스3우C,0.03,0.03,1,428
KG이니시스,0.03,0.03,1,429
신세계 I&C,0.03,0.03,1,430
NPC,0.03,0.03,1,431
대림바스,0.02,0.02,1,432
대륙제관,0.02,0.02,1,433
HL홀딩스,0.02,0.02,1,434
GS글로벌,0.02,0.02,1,435
한국컴퓨터,0.02,0.02,1,436
GKL,0.02,0.01,2,437
골프존,0.02,0.02,1,438
한화손해보험,0.02,0.02,1,439
동성케미컬,0.02,0.02,1,440
SK네트웍스,0.02,0.02,1,441
한국알콜,0.02,0.02,1,442
코리아에프티,0.02,0.02,1,443
선진,0.02,0.02,1,444
디케이락,0.02,0.02,1,445
에스디바이오센서,0.02,0.01,2,446
미원상사,0.02,0.01,2,447
세아제강지주,0.02,0.01,2,448
삼진제약,0.02,0.02,1,449
유안타증권,0.02,0.02,1,450
빅솔론,0.02,0.02,1,451
하나제약,0.02,0.02,1,452
한국무브넥스,0.01,0.01,1,453
현대홈쇼핑,0.01,0.01,1,454
GS피앤엘,0.01,0.01,1,455
일신방직,0.01,0.01,1,456
솔루스첨단소재,0.01,0.01,1,457
SJG세종,0.01,0.01,1,458
큐리오시스,0.01,0.01,1,459
OCI,0.01,0.01,1,460
한진,0.01,0.01,1,461
파미셀,0.01,0.01,1,462
신대양제지,0.01,0.01,1,463
NICE평가정보,0.01,0.01,1,464
현대지에프홀딩스,0.01,0.01,1,465
신세계인터내셔날,0.01,0.01,1,466
KCTC,0.01,0.01,1,467
퍼시스,0.01,0.01,1,468
동화약품,0.01,0.01,1,469
제주반도체,0.01,0.01,1,470
부광약품,0.01,0.01,1,471
명신산업,0.01,0.005,2,472
